,method,best_Jaccard_index_for_cluster
322,Slingshot+tradeSeq (nPoints=200),0.09610645638245441
323,Slingshot+tradeSeq (nPoints=200),0.0523509452253999
324,Hotspot (n_neighbors=30),0.09632139399806389
325,Hotspot (n_neighbors=30),0.15933232169954475
326,Hotspot (n_neighbors=30),0.03768345894486315
327,Hotspot (n_neighbors=30),0.049104859335038366
328,Hotspot (n_neighbors=30),0.13656605640771896
329,Hotspot (n_neighbors=30),0.24141267537493952
330,Hotspot (n_neighbors=300),0.04046242774566474
331,Hotspot (n_neighbors=300),0.07758620689655173
332,Hotspot (n_neighbors=300),0.05031145184475323
333,Hotspot (n_neighbors=300),0.08961303462321792
334,Hotspot (n_neighbors=300),0.1432806324110672
335,Hotspot (n_neighbors=300),0.06069505628976995
336,nsNMF,0.021297192642787996
337,nsNMF,0.03358925143953935
338,nsNMF,0.0871647509578544
339,nsNMF,0.014792899408284023
340,nsNMF,0.050939663699307615
341,nsNMF,0.02920723226703755
342,SingleCellHaystack (k=3),0.09269406392694064
343,SingleCellHaystack (k=3),0.06879271070615034
344,SingleCellHaystack (k=3),0.08656036446469248
345,SingleCellHaystack (k=3),0.04488330341113106
346,SingleCellHaystack (k=3),0.15366088631984587
347,SingleCellHaystack (k=3),0.0939379916705229
348,SingleCellHaystack (k=5),0.09269406392694064
349,SingleCellHaystack (k=5),0.04865375531412376
350,SingleCellHaystack (k=5),0.04807692307692308
351,SingleCellHaystack (k=5),0.030416471689284044
352,SingleCellHaystack (k=5),0.09349397590361445
353,SingleCellHaystack (k=5),0.0939379916705229
354,SingleCellHaystack (k=6),0.09269406392694064
355,SingleCellHaystack (k=6),0.04865375531412376
356,SingleCellHaystack (k=6),0.04807692307692308
357,SingleCellHaystack (k=6),0.030416471689284044
358,SingleCellHaystack (k=6),0.09349397590361445
359,SingleCellHaystack (k=6),0.0939379916705229
360,SPIRAL (Jaccard index=0.05),0.16481391976800386
361,SPIRAL (Jaccard index=0.05),0.06768558951965066
362,SPIRAL (Jaccard index=0.05),0.2242305813385442
363,SPIRAL (Jaccard index=0.05),0.09403437815975733
364,SPIRAL (Jaccard index=0.05),0.22118525431637892
365,SPIRAL (Jaccard index=0.05),0.1707434052757794
366,SPIRAL (Jaccard index=0.5),0.1982276119402985
367,SPIRAL (Jaccard index=0.5),0.20208023774145617
368,SPIRAL (Jaccard index=0.5),0.2242305813385442
369,SPIRAL (Jaccard index=0.5),0.2064814814814815
370,SPIRAL (Jaccard index=0.5),0.22118525431637892
371,SPIRAL (Jaccard index=0.5),0.23431734317343172
372,SPIRAL (Jaccard index=0.75),0.1982276119402985
373,SPIRAL (Jaccard index=0.75),0.20208023774145617
374,SPIRAL (Jaccard index=0.75),0.2242305813385442
375,SPIRAL (Jaccard index=0.75),0.2064814814814815
376,SPIRAL (Jaccard index=0.75),0.22118525431637892
377,SPIRAL (Jaccard index=0.75),0.23431734317343172
378,Seurat,0.08398517908604364
379,Seurat,0.05333333333333334
380,Seurat,0.1272648835202761
381,Seurat,0.07852292020373515
382,Seurat,0.10204081632653061
383,Seurat,0.09033347403967919
384,Slingshot+tradeSeq (nPoints=20),0.09678965021562051
385,Slingshot+tradeSeq (nPoints=20),0.03292806484295846
386,Slingshot+tradeSeq (nPoints=20),0.052169673330082884
387,Slingshot+tradeSeq (nPoints=20),0.028692380056444027
388,Slingshot+tradeSeq (nPoints=20),0.08879590887959089
389,Slingshot+tradeSeq (nPoints=20),0.055747409965466205
390,Slingshot+tradeSeq (nPoints=200),0.08229066410009625
391,Slingshot+tradeSeq (nPoints=200),0.03896761133603239
392,Slingshot+tradeSeq (nPoints=200),0.04736328125
393,Slingshot+tradeSeq (nPoints=200),0.026511627906976743
394,Slingshot+tradeSeq (nPoints=200),0.10460251046025104
395,Slingshot+tradeSeq (nPoints=200),0.03269887750122011
396,Hotspot (n_neighbors=30),0.03673272112131464
397,Hotspot (n_neighbors=30),0.06822810590631365
